Variable,Run,TestID,SolutionIndex,SolutionID,Schedulability,Satisfaction,DeadlineMiss,Rank,CrowdDistance
UAV,47,1,0,0,-802.4316154132965,10.0,2500,0,0.0
UAV,47,1,1,1,-802.4316154132965,10.0,2500,0,0.0
UAV,47,1,2,2,-802.1858170577908,-45.0,2123,0,0.0
UAV,47,1,3,3,-802.3323325502773,-15.0,3559,0,0.0
UAV,47,1,4,4,-802.2598918982441,-19.0,1557,0,0.0
UAV,47,1,5,5,-802.3734283484334,-9.0,0,0,0.0
UAV,47,1,6,6,-802.4232606646849,0.0,2500,0,0.0
UAV,47,1,7,7,-802.2275598367879,-36.0,800,0,0.0
UAV,47,1,8,8,-802.3900195874893,-5.0,2500,0,0.0
UAV,47,1,9,9,-802.1875358606467,-44.0,2090,0,0.0
UAV,45,1,0,0,-802.4401081032385,10.0,0,0,0.0
UAV,45,1,1,1,-802.1854714632979,-43.0,2121,0,0.0
UAV,45,1,2,2,-802.4401081032385,10.0,0,0,0.0
UAV,45,1,3,3,-802.29311600596,-15.0,2830,0,0.0
UAV,45,1,4,4,-802.3833486892527,-9.0,3651,0,0.0
UAV,45,1,5,5,-802.2556427180004,-23.0,974,0,0.0
UAV,45,1,6,6,-802.4265429726921,-3.0,0,0,0.0
UAV,45,1,7,7,-802.234397009537,-37.0,962,0,0.0
UAV,45,1,8,8,-802.2331562445416,-26.0,498,0,0.0
UAV,45,1,9,9,-802.4469206261354,3.0,0,0,0.0
UAV,28,1,0,0,-802.4316154132965,10.0,2500,0,0.0
UAV,28,1,1,1,-802.1860128662825,-45.0,2123,0,0.0
UAV,28,1,2,2,-802.4316154132965,10.0,2500,0,0.0
UAV,28,1,3,3,-802.3477961059671,-3.0,0,0,0.0
UAV,28,1,4,4,-802.3953332711259,3.0,0,0,0.0
UAV,28,1,5,5,-802.2417318116883,-38.0,2111,0,0.0
UAV,28,1,6,6,-802.2625495976241,-31.0,2207,0,0.0
UAV,28,1,7,7,-802.2541951579016,-19.0,1065,0,0.0
UAV,28,1,8,8,-802.2584667129792,-24.0,170,0,0.0
UAV,28,1,9,9,-802.3400616741952,-16.0,1437,0,0.0
UAV,7,1,0,0,-802.4316154132965,10.0,2500,0,0.0
UAV,7,1,1,1,-802.1965057863965,-38.0,1956,0,0.0
UAV,7,1,2,2,-802.4316154132965,10.0,2500,0,0.0
UAV,7,1,3,3,-802.3037513749947,-12.0,1083,0,0.0
UAV,7,1,4,4,-802.4275939877892,4.0,3604,0,0.0
UAV,7,1,5,5,-802.271917322467,-22.0,474,0,0.0
UAV,7,1,6,6,-802.252967528613,-29.0,415,0,0.0
UAV,7,1,7,7,-802.38152615096,-2.0,2597,0,0.0
UAV,7,1,8,8,-802.3665196847014,-6.0,3500,0,0.0
UAV,7,1,9,9,-802.2748915335319,-25.0,563,0,0.0
UAV,36,1,0,0,-802.4401081032385,10.0,0,0,0.0
UAV,36,1,1,1,-802.1862500092086,-44.0,2115,0,0.0
UAV,36,1,2,2,-802.4401081032385,10.0,0,0,0.0
UAV,36,1,3,3,-802.1862500092086,-44.0,2115,0,0.0
UAV,36,1,4,4,-802.4334719417416,1.0,0,0,0.0
UAV,36,1,5,5,-802.337854073701,-9.0,0,0,0.0
UAV,36,1,6,6,-802.2945352548448,-15.0,3112,0,0.0
UAV,36,1,7,7,-802.2556952726378,-20.0,1142,0,0.0
UAV,36,1,8,8,-802.1957284286649,-32.0,2111,0,0.0
UAV,36,1,9,9,-802.2289470552982,-29.0,1886,0,0.0
UAV,46,1,0,0,-802.4316154132965,10.0,2500,0,0.0
UAV,46,1,1,1,-802.186265997107,-40.0,2123,0,0.0
UAV,46,1,2,2,-802.1862664067595,-40.0,2123,0,0.0
UAV,46,1,3,3,-802.4316154132965,10.0,2500,0,0.0
UAV,46,1,4,4,-802.3867096456427,2.0,0,0,0.0
UAV,46,1,5,5,-802.3071265190047,-10.0,2875,0,0.0
UAV,46,1,6,6,-802.3069295242158,-18.0,1819,0,0.0
UAV,46,1,7,7,-802.2091327891308,-29.0,2002,0,0.0
UAV,46,1,8,8,-802.3665445933511,-4.0,0,0,0.0
UAV,46,1,9,9,-802.2429134690564,-24.0,378,0,0.0
UAV,33,1,0,0,-802.4316154132965,10.0,2500,0,0.0
UAV,33,1,1,1,-802.189649594083,-44.0,2124,0,0.0
UAV,33,1,2,2,-802.4316154132965,10.0,2500,0,0.0
UAV,33,1,3,3,-802.3954821587399,2.0,0,0,0.0
UAV,33,1,4,4,-802.3396583020382,-5.0,950,0,0.0
UAV,33,1,5,5,-802.2298722449557,-33.0,2025,0,0.0
UAV,33,1,6,6,-802.3028838099668,-11.0,950,0,0.0
UAV,33,1,7,7,-802.2591190745042,-16.0,1619,0,0.0
UAV,33,1,8,8,-802.2399674252645,-28.0,1815,0,0.0
UAV,33,1,9,9,-802.2433572127811,-21.0,1484,0,0.0
UAV,4,1,0,0,-802.4316154132965,10.0,2500,0,0.0
UAV,4,1,1,1,-802.4316154132965,10.0,2500,0,0.0
UAV,4,1,2,2,-802.1857036224138,-42.0,2122,0,0.0
UAV,4,1,3,3,-802.2984385076139,-9.0,1134,0,0.0
UAV,4,1,4,4,-802.4367672098443,-5.0,2059,0,0.0
UAV,4,1,5,5,-802.214577255162,-32.0,832,0,0.0
UAV,4,1,6,6,-802.3865828573337,2.0,186,0,0.0
UAV,4,1,7,7,-802.2194302838755,-25.0,1876,0,0.0
UAV,4,1,8,8,-802.2381125358754,-23.0,915,0,0.0
UAV,4,1,9,9,-802.2854456860401,-17.0,54,0,0.0
UAV,24,1,0,0,-802.1889277660732,-44.0,2115,0,0.0
UAV,24,1,1,1,-802.4316154132965,10.0,2500,0,0.0
UAV,24,1,2,2,-802.1889255214932,-44.0,2115,0,0.0
UAV,24,1,3,3,-802.4316154132965,10.0,2500,0,0.0
UAV,24,1,4,4,-802.3416688509822,-6.0,1611,0,0.0
UAV,24,1,5,5,-802.4687239282711,2.0,0,0,0.0
UAV,24,1,6,6,-802.2472809504302,-20.0,2422,0,0.0
UAV,24,1,7,7,-802.295404168288,-12.0,3163,0,0.0
UAV,24,1,8,8,-802.2227969174772,-28.0,2011,0,0.0
UAV,24,1,9,9,-802.1958447198501,-31.0,2111,0,0.0
UAV,11,1,0,0,-802.4316154132972,10.0,2500,0,0.0
UAV,11,1,1,1,-802.4316154132972,10.0,2500,0,0.0
UAV,11,1,2,2,-802.1860955253463,-42.0,2123,0,0.0
UAV,11,1,3,3,-802.2668381187066,-18.0,3064,0,0.0
UAV,11,1,4,4,-802.3626841033658,-6.0,3500,0,0.0
UAV,11,1,5,5,-802.2248621160484,-25.0,1907,0,0.0
UAV,11,1,6,6,-802.3949230154457,3.0,881,0,0.0
UAV,11,1,7,7,-802.1977004149389,-33.0,2090,0,0.0
UAV,11,1,8,8,-802.4302286847309,-4.0,3687,0,0.0
UAV,11,1,9,9,-802.3101943539815,-13.0,2953,0,0.0
UAV,30,1,0,0,-802.4316154132965,10.0,2500,0,0.0
UAV,30,1,1,1,-802.4316154132965,10.0,2500,0,0.0
UAV,30,1,2,2,-802.1860948699025,-41.0,2123,0,0.0
UAV,30,1,3,3,-802.3781595991503,-5.0,3687,0,0.0
UAV,30,1,4,4,-802.383876542954,2.0,125,0,0.0
UAV,30,1,5,5,-802.2993725232891,-11.0,3083,0,0.0
UAV,30,1,6,6,-802.2004394800924,-30.0,1938,0,0.0
UAV,30,1,7,7,-802.3137548139471,-16.0,2998,0,0.0
UAV,30,1,8,8,-802.2348924048057,-21.0,1897,0,0.0
UAV,30,1,9,9,-802.2292714587246,-24.0,1965,0,0.0
UAV,19,1,0,0,-802.4316154132965,10.0,2500,0,0.0
UAV,19,1,1,1,-802.1858114367374,-43.0,2123,0,0.0
UAV,19,1,2,2,-802.4316154132965,10.0,2500,0,0.0
UAV,19,1,3,3,-802.2016767771282,-30.0,1938,0,0.0
UAV,19,1,4,4,-802.2383342749752,-22.0,2061,0,0.0
UAV,19,1,5,5,-802.3468773697197,-4.0,2875,0,0.0
UAV,19,1,6,6,-802.3944163532211,2.0,0,0,0.0
UAV,19,1,7,7,-802.4234502274511,5.0,2500,0,0.0
UAV,19,1,8,8,-802.2811557699735,-16.0,3092,0,0.0
UAV,19,1,9,9,-802.3161706479864,-10.0,2875,0,0.0
UAV,40,1,0,0,-802.4316154132965,10.0,2500,0,0.0
UAV,40,1,1,1,-802.4316154132965,10.0,2500,0,0.0
UAV,40,1,2,2,-802.1858157692703,-45.0,2123,0,0.0
UAV,40,1,3,3,-802.2762796492026,-21.0,3064,0,0.0
UAV,40,1,4,4,-802.2959189336622,-12.0,2953,0,0.0
UAV,40,1,5,5,-802.2240589918366,-26.0,2105,0,0.0
UAV,40,1,6,6,-802.3774864841625,-3.0,0,0,0.0
UAV,40,1,7,7,-802.1939904133843,-34.0,2111,0,0.0
UAV,40,1,8,8,-802.3368356465013,-9.0,3192,0,0.0
UAV,40,1,9,9,-802.4356941540383,2.0,0,0,0.0
UAV,43,1,0,0,-802.4316154132965,10.0,2500,0,0.0
UAV,43,1,1,1,-802.190097686055,-40.0,2123,0,0.0
UAV,43,1,2,2,-802.4316154132965,10.0,2500,0,0.0
UAV,43,1,3,3,-802.2590660521453,-33.0,1295,0,0.0
UAV,43,1,4,4,-802.3520464659081,-2.0,1398,0,0.0
UAV,43,1,5,5,-802.3184872651149,-7.0,1000,0,0.0
UAV,43,1,6,6,-802.3939219896438,3.0,2812,0,0.0
UAV,43,1,7,7,-802.3292621310931,-15.0,3,0,0.0
UAV,43,1,8,8,-802.2572780633056,-19.0,1557,0,0.0
UAV,43,1,9,9,-802.2902048245369,-25.0,689,0,0.0
UAV,23,1,0,0,-802.4401081032385,10.0,0,0,0.0
UAV,23,1,1,1,-802.1860948699025,-41.0,2123,0,0.0
UAV,23,1,2,2,-802.4401081032385,10.0,0,0,0.0
UAV,23,1,3,3,-802.4125779376507,4.0,0,0,0.0
UAV,23,1,4,4,-802.226922707003,-32.0,2329,0,0.0
UAV,23,1,5,5,-802.360652684948,-3.0,0,0,0.0
UAV,23,1,6,6,-802.3292934359421,-9.0,2858,0,0.0
UAV,23,1,7,7,-802.2612517808635,-28.0,912,0,0.0
UAV,23,1,8,8,-802.2686931103633,-20.0,53,0,0.0
UAV,23,1,9,9,-802.3120027235418,-13.0,3078,0,0.0
UAV,25,1,0,0,-802.4325542242378,10.0,0,0,0.0
UAV,25,1,1,1,-802.1868151751337,-48.0,2123,0,0.0
UAV,25,1,2,2,-802.4325542242378,10.0,0,0,0.0
UAV,25,1,3,3,-802.2011744734831,-38.0,2130,0,0.0
UAV,25,1,4,4,-802.3052125507737,-25.0,43,0,0.0
UAV,25,1,5,5,-802.4218693217549,4.0,0,0,0.0
UAV,25,1,6,6,-802.2865218514887,-21.0,176,0,0.0
UAV,25,1,7,7,-802.3910559074998,-2.0,0,0,0.0
UAV,25,1,8,8,-802.3822958748268,-14.0,0,0,0.0
UAV,25,1,9,9,-802.4167381114112,-13.0,382,0,0.0
