TestID,Approach,Subject,Run,GD,GDP,HV,GS,CI,UNFR,SP,CS,CSunique
1,RS,CCS,15,0.066629,0.066500,0.855705,0.305010,0.006579,0.111111,0.058784,0.053333,0.111111
1,RS,CCS,16,0.065785,0.065655,0.810886,0.365593,0.000000,0.000000,0.064033,0.000000,0.000000
1,RS,CCS,17,0.044779,0.043746,0.840820,0.496157,0.000000,0.000000,0.057296,0.000000,0.000000
1,RS,CCS,18,0.091681,0.091679,0.684104,0.408473,0.000000,0.000000,0.074888,0.000000,0.000000
1,RS,CCS,19,0.064558,0.064420,0.787384,0.637184,0.000000,0.000000,0.120757,0.000000,0.000000
1,RS,CCS,20,0.023342,0.022516,0.855614,0.345668,0.000000,0.000000,0.053678,0.000000,0.000000
1,RS,CCS,21,0.141536,0.141536,0.740572,0.353343,0.000000,0.000000,0.046762,0.000000,0.000000
1,RS,CCS,22,0.063215,0.062583,0.768508,0.637939,0.000000,0.000000,0.154616,0.000000,0.000000
1,RS,CCS,23,0.150166,0.150166,0.676740,0.460373,0.000000,0.000000,0.320838,0.000000,0.000000
1,RS,CCS,24,0.060939,0.060457,0.729053,0.744519,0.000000,0.000000,0.237500,0.000000,0.000000
1,RS,CCS,25,0.083647,0.083512,0.844905,0.686332,0.000000,0.000000,0.118790,0.000000,0.000000
1,RS,CCS,26,0.076902,0.076635,0.732305,0.737611,0.000000,0.000000,0.160688,0.000000,0.000000
1,RS,CCS,27,0.149653,0.148762,0.733201,0.244335,0.000000,0.000000,0.075523,0.000000,0.000000
1,RS,CCS,28,0.151977,0.151975,0.746980,0.470294,0.000000,0.000000,0.166700,0.000000,0.000000
1,RS,CCS,29,0.125307,0.125079,0.722955,0.549222,0.000000,0.000000,0.124099,0.000000,0.000000
1,RS,CCS,30,0.130799,0.130799,0.651306,0.369619,0.000000,0.000000,0.056622,0.000000,0.000000
1,RS,CCS,31,0.036226,0.030418,0.809228,0.205853,0.013889,0.111111,0.049305,0.533333,0.111111
1,RS,CCS,32,0.069871,0.069871,0.828706,0.376210,0.000000,0.000000,0.140542,0.000000,0.000000
1,RS,CCS,33,0.066185,0.066077,0.793311,0.472292,0.000000,0.000000,0.108776,0.000000,0.000000
1,RS,CCS,34,0.147390,0.147194,0.688745,0.432718,0.000000,0.000000,0.193570,0.000000,0.000000
1,RS,CCS,35,0.109918,0.109918,0.733596,0.424151,0.000000,0.000000,0.140467,0.000000,0.000000
1,RS,CCS,36,0.074904,0.074115,0.725308,0.382285,0.000000,0.000000,0.138858,0.000000,0.000000
1,RS,CCS,37,0.088786,0.088733,0.786036,0.449751,0.000000,0.000000,0.114070,0.000000,0.000000
1,RS,CCS,38,0.079661,0.079550,0.653286,0.811758,0.000000,0.000000,0.309649,0.000000,0.000000
1,RS,CCS,39,0.071503,0.071222,0.664585,0.555525,0.000000,0.000000,0.080132,0.000000,0.000000
1,RS,CCS,40,0.059188,0.057678,0.719129,0.605085,0.000000,0.000000,0.075857,0.000000,0.000000
1,RS,CCS,41,0.134781,0.134532,0.745948,0.610175,0.000000,0.000000,0.221002,0.000000,0.000000
1,RS,CCS,42,0.071418,0.071083,0.778016,0.425966,0.006579,0.111111,0.094013,0.053333,0.111111
1,RS,CCS,43,0.101807,0.101807,0.770645,0.566387,0.006579,0.111111,0.216153,0.053333,0.111111
1,RS,CCS,44,0.087359,0.087291,0.709582,0.476644,0.000000,0.000000,0.055719,0.000000,0.000000
1,RS,CCS,45,0.060428,0.058565,0.738562,0.724507,0.000000,0.000000,0.187005,0.000000,0.000000
1,RS,CCS,46,0.039081,0.038588,0.844428,0.542013,0.006579,0.111111,0.075125,0.106667,0.111111
1,RS,CCS,47,0.074564,0.074564,0.710132,0.630314,0.000000,0.000000,0.267126,0.000000,0.000000
1,RS,CCS,48,0.103848,0.103845,0.697545,0.346320,0.000000,0.000000,0.097615,0.000000,0.000000
1,RS,CCS,49,0.073711,0.073355,0.675633,0.620588,0.000000,0.000000,0.085354,0.000000,0.000000
1,RS,CCS,50,0.050550,0.050550,0.800407,0.457662,0.006579,0.111111,0.118365,0.013333,0.111111
1,OPAM,ESAIL,1,0.000326,0.000326,0.999674,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,OPAM,ESAIL,2,0.000180,0.000180,0.999745,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,OPAM,ESAIL,3,0.000302,0.000302,0.999698,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,OPAM,ESAIL,4,0.000126,0.000126,0.999747,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,OPAM,ESAIL,5,0.000149,0.000149,0.999742,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,OPAM,ESAIL,6,0.000243,0.000243,0.999757,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,OPAM,ESAIL,7,0.000086,0.000086,0.999757,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,OPAM,ESAIL,8,0.000315,0.000315,0.999685,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,OPAM,ESAIL,9,0.000246,0.000246,0.999754,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,OPAM,ESAIL,10,0.000276,0.000276,0.999724,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,OPAM,ESAIL,11,0.000243,0.000243,0.999757,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,OPAM,ESAIL,12,0.000173,0.000173,0.999755,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,OPAM,ESAIL,13,0.000253,0.000253,0.999747,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,OPAM,ESAIL,14,0.000248,0.000248,0.999752,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
