Approach,Subject,Run,GD,GDP,HV,GS,CI,UNFR,SP,CS,CSunique
OPAM,ESAIL,14,0.000049,0.000049,0.999951,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
OPAM,ESAIL,15,0.000020,0.000020,0.999972,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
OPAM,ESAIL,16,0.000010,0.000010,0.999986,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
OPAM,ESAIL,17,0.000000,0.000000,1.000000,1.000000,0.500000,1.000000,0.000000,1.000000,1.000000
OPAM,ESAIL,18,0.000046,0.000046,0.999909,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
OPAM,ESAIL,19,0.000011,0.000011,0.999972,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
OPAM,ESAIL,20,0.000091,0.000091,0.999909,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
OPAM,ESAIL,21,0.000079,0.000079,0.999888,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
OPAM,ESAIL,22,0.000033,0.000033,0.999895,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
OPAM,ESAIL,23,0.000383,0.000383,0.999143,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
OPAM,ESAIL,24,0.000032,0.000032,0.999944,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
OPAM,ESAIL,25,0.000047,0.000047,0.999895,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
OPAM,ESAIL,26,0.000760,0.000760,0.998925,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
OPAM,ESAIL,27,0.000009,0.000009,0.999979,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
OPAM,ESAIL,28,0.000000,0.000000,1.000000,1.000000,0.500000,1.000000,0.000000,1.000000,1.000000
OPAM,ESAIL,29,0.000214,0.000214,0.999698,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
OPAM,ESAIL,30,0.000144,0.000144,0.999796,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
