Approach,Subject,Run,GD,GDP,HV,GS,CI,UNFR,SP,CS,CSunique
RS,HPSS,49,0.173195,0.173177,0.478929,0.815006,0.000000,0.000000,0.173462,0.000000,0.000000
RS,HPSS,50,0.140406,0.140243,0.504711,0.548795,0.000000,0.000000,0.015764,0.000000,0.000000
OPAM,UAV,1,0.003219,0.003159,0.912606,0.324950,0.053191,0.147059,0.018031,0.481481,0.147059
OPAM,UAV,2,0.003735,0.003279,0.909179,0.412972,0.006579,0.029412,0.021506,0.074074,0.029412
OPAM,UAV,3,0.005807,0.005611,0.891433,0.610619,0.000000,0.000000,0.027000,0.000000,0.000000
OPAM,UAV,4,0.005146,0.005146,0.900511,0.327865,0.007463,0.029412,0.044505,0.185185,0.029412
OPAM,UAV,5,0.005540,0.002170,0.912435,0.285104,0.022727,0.058824,0.049975,0.222222,0.058824
OPAM,UAV,6,0.002937,0.002450,0.914501,0.492751,0.013158,0.058824,0.028125,0.086420,0.058824
OPAM,UAV,7,0.005250,0.005004,0.902086,0.204723,0.006250,0.029412,0.043398,0.024691,0.029412
OPAM,UAV,8,0.004396,0.003878,0.911364,0.324609,0.012500,0.058824,0.030149,0.037037,0.058824
OPAM,UAV,9,0.002403,0.002403,0.914080,0.191420,0.032895,0.147059,0.053603,0.123457,0.147059
OPAM,UAV,10,0.004219,0.003758,0.910252,0.320281,0.022727,0.058824,0.044223,0.222222,0.058824
OPAM,UAV,11,0.002763,0.002283,0.912512,0.588154,0.018750,0.088235,0.029910,0.049383,0.088235
OPAM,UAV,12,0.003099,0.002433,0.899694,0.669542,0.029412,0.088235,0.029423,0.407407,0.088235
OPAM,UAV,13,0.008081,0.007758,0.895467,0.292206,0.016129,0.058824,0.041103,0.259259,0.058824
OPAM,UAV,14,0.005036,0.004916,0.904892,0.399909,0.007463,0.029412,0.019827,0.185185,0.029412
OPAM,UAV,15,0.003650,0.003650,0.907327,0.297189,0.024194,0.088235,0.018721,0.271605,0.088235
OPAM,UAV,16,0.005922,0.005702,0.906451,0.408653,0.012346,0.029412,0.048063,0.024691,0.029412
OPAM,UAV,17,0.004228,0.004228,0.903589,0.592290,0.000000,0.000000,0.034614,0.000000,0.000000
OPAM,UAV,18,0.004129,0.004129,0.906845,0.491103,0.023810,0.088235,0.045188,0.259259,0.088235
OPAM,UAV,19,0.003209,0.002982,0.892130,0.640389,0.053191,0.147059,0.025374,0.481481,0.147059
OPAM,UAV,20,0.006615,0.006062,0.902469,0.407225,0.019608,0.058824,0.043829,0.395062,0.058824
OPAM,UAV,21,0.004586,0.003794,0.898427,0.605152,0.000000,0.000000,0.035923,0.000000,0.000000
OPAM,UAV,22,0.003815,0.003815,0.907152,0.298718,0.013158,0.058824,0.047187,0.086420,0.058824
OPAM,UAV,23,0.005648,0.005246,0.902363,0.285815,0.000000,0.000000,0.043261,0.000000,0.000000
OPAM,UAV,24,0.005679,0.002878,0.905424,0.254859,0.028846,0.058824,0.053295,0.395062,0.058824
OPAM,UAV,25,0.003498,0.002800,0.914028,0.251718,0.012346,0.058824,0.027145,0.024691,0.058824
OPAM,UAV,26,0.006423,0.006422,0.897949,0.255062,0.000000,0.000000,0.042344,0.000000,0.000000
OPAM,UAV,27,0.004737,0.004635,0.900621,0.471981,0.000000,0.000000,0.022362,0.000000,0.000000
OPAM,UAV,28,0.004003,0.003663,0.895909,0.472810,0.000000,0.000000,0.018552,0.000000,0.000000
OPAM,UAV,29,0.005081,0.005081,0.881444,0.651424,0.000000,0.000000,0.032888,0.000000,0.000000
OPAM,UAV,30,0.006155,0.005213,0.905870,0.459957,0.000000,0.000000,0.039542,0.000000,0.000000
OPAM,UAV,31,0.007403,0.007135,0.896280,0.507592,0.006579,0.029412,0.031647,0.074074,0.029412
OPAM,UAV,32,0.004112,0.003770,0.903693,0.372401,0.000000,0.000000,0.036692,0.000000,0.000000
OPAM,UAV,33,0.003991,0.003991,0.905090,0.472491,0.048780,0.117647,0.023527,0.543210,0.117647
OPAM,UAV,34,0.004044,0.003890,0.905291,0.528468,0.032609,0.088235,0.035015,0.469136,0.088235
OPAM,UAV,35,0.005466,0.005145,0.899538,0.433990,0.007692,0.029412,0.033335,0.209877,0.029412
OPAM,UAV,36,0.002828,0.002828,0.893439,0.684180,0.007463,0.029412,0.041082,0.185185,0.029412
OPAM,UAV,37,0.004584,0.004584,0.906806,0.311279,0.006250,0.029412,0.047985,0.024691,0.029412
OPAM,UAV,38,0.002874,0.002390,0.901803,0.511813,0.000000,0.000000,0.022272,0.000000,0.000000
OPAM,UAV,39,0.004483,0.004273,0.904355,0.357105,0.006579,0.029412,0.049794,0.074074,0.029412
OPAM,UAV,40,0.002947,0.002514,0.900686,0.579086,0.000000,0.000000,0.024465,0.000000,0.000000
OPAM,UAV,41,0.005830,0.005688,0.906954,0.579068,0.006173,0.029412,0.040977,0.012346,0.029412
OPAM,UAV,42,0.003787,0.003268,0.909128,0.274057,0.000000,0.000000,0.048251,0.000000,0.000000
OPAM,UAV,43,0.003320,0.003230,0.905106,0.413153,0.000000,0.000000,0.037776,0.000000,0.000000
OPAM,UAV,44,0.004601,0.004483,0.898862,0.554999,0.015385,0.058824,0.025138,0.222222,0.058824
OPAM,UAV,45,0.004153,0.003864,0.907754,0.530138,0.007692,0.029412,0.041141,0.209877,0.029412
OPAM,UAV,46,0.006724,0.006671,0.885437,0.638250,0.006173,0.029412,0.032399,0.012346,0.029412
OPAM,UAV,47,0.003794,0.003558,0.909460,0.306264,0.012346,0.058824,0.039610,0.024691,0.058824
OPAM,UAV,48,0.003855,0.003480,0.903147,0.412602,0.006579,0.029412,0.044433,0.074074,0.029412
OPAM,UAV,49,0.004143,0.004143,0.896008,0.451113,0.041667,0.088235,0.032306,0.456790,0.088235
OPAM,UAV,50,0.003366,0.003363,0.893713,0.651351,0.023810,0.088235,0.026958,0.259259,0.088235
RS,UAV,1,0.071844,0.071760,0.705954,0.616548,0.000000,0.000000,0.058003,0.000000,0.000000
RS,UAV,2,0.123994,0.123927,0.729955,0.359993,0.000000,0.000000,0.037495,0.000000,0.000000
RS,UAV,3,0.065649,0.065649,0.744960,0.696214,0.000000,0.000000,0.065123,0.000000,0.000000
RS,UAV,4,0.069852,0.069822,0.785464,0.648848,0.000000,0.000000,0.126827,0.000000,0.000000
RS,UAV,5,0.067632,0.067632,0.762243,0.578142,0.000000,0.000000,0.047944,0.000000,0.000000
RS,UAV,6,0.112352,0.112352,0.735010,0.611111,0.000000,0.000000,0.060297,0.000000,0.000000
RS,UAV,7,0.049099,0.049099,0.792873,0.739387,0.000000,0.000000,0.110759,0.000000,0.000000
RS,UAV,8,0.140207,0.140207,0.734598,0.501081,0.000000,0.000000,0.075465,0.000000,0.000000
RS,UAV,9,0.067907,0.067907,0.754895,0.700287,0.000000,0.000000,0.039195,0.000000,0.000000
RS,UAV,10,0.042077,0.042077,0.800608,0.506855,0.000000,0.000000,0.104954,0.000000,0.000000
RS,UAV,11,0.078582,0.078582,0.800361,0.550346,0.000000,0.000000,0.102467,0.000000,0.000000
RS,UAV,12,0.101868,0.101868,0.754943,0.909281,0.000000,0.000000,0.214036,0.000000,0.000000
RS,UAV,13,0.068896,0.068852,0.752688,0.473358,0.000000,0.000000,0.048577,0.000000,0.000000
RS,UAV,14,0.072001,0.072001,0.748259,0.553063,0.000000,0.000000,0.053960,0.000000,0.000000
RS,UAV,15,0.060944,0.060925,0.764894,0.806489,0.000000,0.000000,0.092580,0.000000,0.000000
RS,UAV,16,0.064788,0.064637,0.728907,0.550109,0.000000,0.000000,0.053637,0.000000,0.000000
RS,UAV,17,0.080132,0.080098,0.735242,0.490504,0.000000,0.000000,0.041765,0.000000,0.000000
RS,UAV,18,0.044824,0.044824,0.805348,0.832031,0.000000,0.000000,0.200201,0.000000,0.000000
RS,UAV,19,0.097557,0.097557,0.699799,0.589950,0.000000,0.000000,0.105402,0.000000,0.000000
RS,UAV,20,0.089689,0.089680,0.732712,0.682482,0.000000,0.000000,0.105856,0.000000,0.000000
RS,UAV,21,0.085130,0.085130,0.747710,0.756352,0.000000,0.000000,0.171963,0.000000,0.000000
RS,UAV,22,0.084941,0.084550,0.776230,0.539316,0.000000,0.000000,0.112841,0.000000,0.000000
RS,UAV,23,0.070815,0.070815,0.780636,0.581463,0.000000,0.000000,0.051592,0.000000,0.000000
RS,UAV,24,0.081079,0.081079,0.745522,0.656468,0.000000,0.000000,0.094374,0.000000,0.000000
RS,UAV,25,0.074232,0.074104,0.759259,0.819924,0.000000,0.000000,0.132867,0.000000,0.000000
RS,UAV,26,0.076034,0.075929,0.773664,0.522551,0.000000,0.000000,0.071454,0.000000,0.000000
RS,UAV,27,0.102619,0.102619,0.718817,0.709739,0.000000,0.000000,0.072903,0.000000,0.000000
RS,UAV,28,0.070261,0.070261,0.747282,0.709370,0.000000,0.000000,0.113670,0.000000,0.000000
RS,UAV,29,0.060312,0.060312,0.766649,0.628556,0.000000,0.000000,0.066262,0.000000,0.000000
RS,UAV,30,0.069097,0.069097,0.735307,0.547787,0.000000,0.000000,0.047140,0.000000,0.000000
RS,UAV,31,0.057317,0.057317,0.750675,0.678306,0.000000,0.000000,0.115837,0.000000,0.000000
RS,UAV,32,0.083508,0.083508,0.782719,0.481947,0.000000,0.000000,0.088565,0.000000,0.000000
RS,UAV,33,0.064478,0.064478,0.743170,0.737066,0.000000,0.000000,0.095552,0.000000,0.000000
RS,UAV,34,0.096685,0.096685,0.731567,0.478717,0.000000,0.000000,0.054278,0.000000,0.000000
RS,UAV,35,0.081927,0.081927,0.780629,0.370000,0.000000,0.000000,0.036912,0.000000,0.000000
RS,UAV,36,0.055269,0.054931,0.780068,0.676325,0.000000,0.000000,0.136316,0.000000,0.000000
RS,UAV,37,0.064013,0.064013,0.789225,0.591467,0.000000,0.000000,0.093941,0.000000,0.000000
RS,UAV,38,0.075744,0.075744,0.759280,0.779498,0.000000,0.000000,0.081657,0.000000,0.000000
RS,UAV,39,0.055693,0.055693,0.764058,0.545501,0.000000,0.000000,0.060548,0.000000,0.000000
RS,UAV,40,0.079140,0.079140,0.726908,0.627980,0.000000,0.000000,0.108525,0.000000,0.000000
RS,UAV,41,0.067730,0.067730,0.738249,0.650474,0.000000,0.000000,0.062510,0.000000,0.000000
RS,UAV,42,0.064956,0.064956,0.793331,0.440686,0.000000,0.000000,0.053019,0.000000,0.000000
RS,UAV,43,0.084526,0.084526,0.742312,0.647891,0.000000,0.000000,0.121468,0.000000,0.000000
RS,UAV,44,0.092491,0.092491,0.734613,0.759890,0.000000,0.000000,0.137251,0.000000,0.000000
RS,UAV,45,0.064294,0.064294,0.754863,0.780254,0.000000,0.000000,0.114493,0.000000,0.000000
RS,UAV,46,0.060727,0.060727,0.768386,0.552370,0.000000,0.000000,0.064063,0.000000,0.000000
RS,UAV,47,0.070279,0.070279,0.760034,0.458876,0.000000,0.000000,0.078586,0.000000,0.000000
RS,UAV,48,0.079304,0.079304,0.741585,0.643346,0.000000,0.000000,0.085677,0.000000,0.000000
RS,UAV,49,0.076331,0.076331,0.753476,0.719117,0.000000,0.000000,0.049390,0.000000,0.000000
RS,UAV,50,0.120746,0.120622,0.732553,0.578893,0.000000,0.000000,0.134131,0.000000,0.000000
